Title,Conference,Year,Link,Author,domain,DataType,Visualisation,Interaction,Machine_Learning,DataSource,Regulatory_Agencies,Regulations_Types,Regulation_Aims,Risk_Type,Financial_Risks,Risk_Management,picture
Inspecting the Process of Bank Credit Rating via Visual Analytics,IEEE Visualization Conference,2021,https://ieeexplore.ieee.org/abstract/document/9623312,Qiangqiang Liu; Quan Li; Zhihua Zhu; Tangzhi Ye; Xiaojuan Ma,Computer science,None,None,None,None,None,None,None,None,None,None,None,95.png
An improved visual analytics framework for high-dimensional pareto-optimal front: a case for multi-objective portfolio optimization,Journal of Banking and Financial Technology ,2021,https://link.springer.com/article/10.1007/s42786-021-00031-8,AKM Khaled Talukder;Kalyanmoy Deb ,Financial,Network,Graph,None,None,None,None,None,None,None,None,None,94.png
BitConduite: Exploratory Visual Analysis of Entity Activity on the Bitcoin Network,IEEE Computer Graphics and Applications,2021,https://ieeexplore.ieee.org/abstract/document/9403400?casa_token=RGgnq4PWWocAAAAA:Tzxu6tm5GNbnI28xOQdA26jcSasecevx_wIixnxZqdVt5gf2zRX3mfosOZKVAykaTepBxUDMFfk,Christoph Kinkeldey; Jean-Daniel Fekete; Tanja Blascheck; Petra Isenberg,Computer science,Network,Graph,None,None,None,None,None,None,None,None,None,93.png
Regshock: Interactive Visual Analytics of Systemic Risk in Financial Networks,Arxiv,2021,https://arxiv.org/abs/2104.11863,"Zhibin Niu, Junqi Wu, Dawei Cheng, Jiawan Zhang",Computer science,Network,Graph,"Abstract/Elaborate,Encode,Connnect,Explore,Filter,ReconfigureEncode,Select",,Bank,Regulator,"Financial institutions monitoring,Bank regulations,Basel accords",Guarantee loans,Business risk,Financial risks,Evaluation,92.png
iConViz: Interactive Visual Exploration of the Default Contagion Risk of Networked-Guarantee Loans,IEEE VIS/TVCG,2020,https://ieeexplore.ieee.org/abstract/document/9308622,Zhibin Niu; Runlin Li; Junqi Wu; Dawei Cheng; Jiawan Zhang,Computer science,Network,Graph,"Encode,Abstract/Elaborate",,,Regulator,"Financial institutions monitoring,Bank regulations,Basel accords",Guarantee loans,Business risk,Financial risks,Evaluation,91.png
BitExTract: Interactive Visualization for Extracting Bitcoin Exchange Intelligence,IEEE VIS/TVCG,2019,https://ieeexplore.ieee.org/document/8440044,Xuanwu Yue; Xinhuan Shu; Xinyu Zhu; Xinnan Du; Zheqing Yu; Dimitrios Papadopoulos; Siyuan Liu,Computer science,"Record data,Time serials","Histograms,Parallel coordinates,Heatmap,Connection View,Timeline","Abstract/Elaborate,Encode,Connnect,Explore,Filter,ReconfigureEncode,Select",Similar to Pagerank,Open source data,Regulator,Bitcoin transaction analysis,Blockchain,Business risk,Market Risk,Awareness,23.png
sPortfolio: Stratified Visual Analysis of Stock Portfolios,IEEE VIS/TVCG,2019,https://ieeexplore.ieee.org/document/8807302,Xuanwu Yue; Jiaxin Bai; Qinhan Liu; Yiyang Tang; Abishek Puri; Ke Li; Huamin Qu,Computer science,"Record data,Time serials","Sankey view,Timeline,Rader view,Scatter plot,The line graph,Histogram","Abstract/Elaborate,Connnect,Explore,Filter,ReconfigureEncode,Select","t-SNE,LSTM auto-encoder",Stock company,Consumer,stock analysis,"Stock forestcasting,Investment risk",Business risk,Liquidity Risk,"Evaluation,Awareness",38.png
Visual Analytics for Networked-Guarantee Loans Risk Management,IEEE PacificVis,2018,https://ieeexplore.ieee.org/document/8365988,Zhibin Niu; Dawei Cheng; Liqing Zhang; Jiawan Zhang,Computer science,"Time serials,Network","Force-directed graph,Sankey view,Heatmap,Tree map","Abstract/Elaborate,Connnect,Encode,Explore,Filter,Select",XGBoost,Bank,Regulator,Financial analysis,Guarantee loans,Business risk,Market Risk,"Monitor,Identify,Evaluation",19.png
A visual analytics system to support tax evasion discovery,Decision Support Systems,2018,https://www.sciencedirect.com/science/article/pii/S0167923618300563?casa_token=ICYwq8n31Q4AAAAA:lIPIVmODEaxa712xAgRcvYQ0oLjuHj5sPX7-kaVNBWoVRv-mVare7-eZwikE-9aSZyKCGYMkfxU7,WalterDidimo; LucaGiamminonni; GiuseppeLiott; FabrizioMontecchiani; DanielePagliuca,Computer science,Network,The node-link graph,"Encode,Abstract/Elaborate,Explore,Filter,Select",,Bank,Regulator,Tax evasion discovery,Tax evasion discovery,Business risk,Operational Risk,Identify,24.png
Hunting High and Low:Visualising Shifting Correlations in Financial Markets,EUROGRAPHICS,2018,https://onlinelibrary.wiley.com/doi/full/10.1111/cgf.13435?casa_token=xC_YykiHJQMAAAAA%3A6klr3t4uAGNxeTYzHPofNFsj5LFRdVIxc1Z0-gvdKV3Sa-CKTnhvoOnA6kueXJ4o7fpr5xBlQTceoD_DXg,P. M. Simon;C. Turkay,Computer science,"Network,Record data","The node-link graph,Animation,Histogram,The line chart","Abstract/Elaborate,Encode,Explore,Filter,Select,Connnect",,Open source data,Regulator,"Financial analysis,stock analysis",Investment risk,Investment risk,Operational Risk,"Awareness,Evaluation",28.png
