Title,Conference,Year,Author,domain,DataType,Visualisation,Interaction,Machine_Learning,DataSource,Regulatory_Agencies,Regulations_Types,Regulation_Aims,Risk_Type,Financial_Risks,Risk_Management,picture
iConVis: Interactive Visual Exploration of the Default Contagion Risk for Networked-guarantee Loans,VAST,2020,Zhibin Niu,Computer science,Network,Graph,"Encode,Abstract/Elaborate",,,Regulator,"Financial institutions monitoring,Bank regulations,Basel accords",Guarantee loans,Business risk,Financial risks,Evaluation,91.png
BitExTract: Interactive Visualization for Extracting Bitcoin Exchange Intelligence,TVCG,2019,Xuanwu Yue,Computer science,"Record data,Time serials","Histograms,Parallel coordinates,Heatmap,Connection View,Timeline","Abstract/Elaborate,Encode,Connnect,Explore,Filter,ReconfigureEncode,Select",Similar to Pagerank,Open source data,Regulator,Bitcoin transaction analysis,Blockchain,Business risk,Market Risk,Awareness,23.png
sPortfolio: Stratified Visual Analysis of Stock Portfolios,TVCG,2019,Xuanwu Yue,Computer science,"Record data,Time serials","Sankey view,Timeline,Rader view,Scatter plot,The line graph,Histogram","Abstract/Elaborate,Connnect,Explore,Filter,ReconfigureEncode,Select","t-SNE,LSTM auto-encoder",Stock company,Consumer,stock analysis,"Stock forestcasting,Investment risk",Business risk,Liquidity Risk,"Evaluation,Awareness",38.png
Visual analytics for loan guarantee network risk management,IEEE PacificVis,2018,Zhibin Niu,Computer science,"Time serials,Network","Force-directed graph,Sankey view,Heatmap,Tree map","Abstract/Elaborate,Connnect,Encode,Explore,Filter,Select",XGBoost,Bank,Regulator,Financial analysis,Guarantee loans,Business risk,Market Risk,"Monitor,Identify,Evaluation",19.png
A visual analytics system to support tax evasion discovery,Decision Support Systems,2018,Walter Didimo,Computer science,Network,The node-link graph,"Encode,Abstract/Elaborate,Explore,Filter,Select",,Bank,Regulator,Tax evasion discovery,Tax evasion discovery,Business risk,Operational Risk,Identify,24.png
Hunting High and Low:Visualising Shifting Correlations in Financial Markets,EUROGRAPHICS,2018,P. M. Simon,Computer science,"Network,Record data","The node-link graph,Animation,Histogram,The line chart","Abstract/Elaborate,Encode,Explore,Filter,Select,Connnect",,Open source data,Regulator,"Financial analysis,stock analysis",Investment risk,Investment risk,Operational Risk,"Awareness,Evaluation",28.png
EVA: Visual analytics to identify fraudulent events,TVCG,2017,Roger A. Leite,Computer science,"Time serials,Record data","Histograms,Parallel coordinates,Scatter plot","Abstract/Elaborate,Connnect,Encode,Explore,Filter,Select",not mention,Bank,Regulator,fraud detection,Fraud and market abuse detection and prevention,Business risk,Operational Risk,Identify,14.png
Exploring Entity Behavior on the Bitcoin Blockchain,IEEE VIS,2017,Petra Isenberg,Computer science,Record data,Timeline,"Abstract/Elaborate,Encode,Explore,Filter,Select",,Open source data,"Regulator,User",Bitcoin transaction analysis,Blockchain,Business risk,"Market Risk,Operational Risk",Awareness,20.png
BitConduite: Visualizing and Analyzing Activity on the Bitcoin Network,EuroVis ,2017,Christoph Kinkeldey,Computer science,"Time serials,Record data",Timeline,"Encode,Explore,Filter",k-means,Open source data,Regulator,Bitcoin transaction analysis,Blockchain,Business risk,"Market Risk,Operational Risk",Awareness,21.png
"Go with the Bitcoin Flow, with Visual Analytics","International Conference on Availability,Reliability and Security",2017,Stefano Bistarelli,Computer science,"Record data,Network",force-directed graph,"Abstract/Elaborate,Connnect,Encode,Explore,Filter,Select",None,Open source data,Regulator,Bitcoin transaction analysis,Blockchain,None,None,"Awareness,Evaluation",57.png
